,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
362,Languages,Applied Language and Translation Studies,DC155,387,,,,387,,444,8,Dublin City University,,,,,,,,,,,
363,Physical sciences,Analytical Science,DC161,498,*,489,,489,,510,8,Dublin City University,,,,,,,,,,,
364,Physical sciences,Chemical and Pharmaceutical Sciences,DC162,521,,,,521,,544,8,Dublin City University,,,,,,,,,,,
365,Environment,Environmental Science and Technology,DC166,433,,399,,399,,441,8,Dublin City University,,,,,,,,,,,
366,Biological and related sciences,Genetics and Cell Biology,DC168,512,*,510,,510,,529,8,Dublin City University,,,,,,,,,,,
367,Physical sciences,Physics General Entry (options),DC175,419,,402,,402,,467,8,Dublin City University,,,,,,,,,,,
368,Biological and related sciences,Biotechnology,DC181,499,,495,,495,,511,8,Dublin City University,,,,,,,,,,,
369,Engineering and engineering trades,Electronic and Computer Engineering (with choice of four majors),DC190,413,,,,413,,465,8,Dublin City University,,,,,,,,,,,
370,Engineering and engineering trades,Mechatronic Engineering,DC193,411,,,,411,,487,8,Dublin City University,,,,,,,,,,,
371,Engineering and engineering trades,Mechanical and Manufacturing Engineering,DC195,425,,,,425,,487,8,Dublin City University,,,,,,,,,,,
372,Health,Biomedical Engineering,DC197,423,,,,423,,477,8,Dublin City University,,,,,,,,,,,
373,Engineering and engineering trades,Common Entry into Engineering (Undenominated Entry),DC200,422,,,,422,,487,8,Dublin City University,,,,,,,,,,,
374,Biological and related sciences,Common Entry into Science (Undenominated Entry),DC201,498,*,488,,488,,499,8,Dublin City University,,,,,,,,,,,
375,Health,Sport Science and Health,DC202,500,,498,*,498,*,521,8,Dublin City University,,,,,,,,,,,
376,Education,Science Education,DC203,435,,,,435,,487,8,Dublin City University,,,,,,,,,,,
377,Health,Athletic Therapy and Training,DC204,522,,519,,519,,533,8,Dublin City University,,,,,,,,,,,
378,Education,Physical Education with Biology,DC205,531,,,,531,,553,8,Dublin City University,,,,,,,,,,,
379,Education,Physical Education with Mathematics,DC206,499,,,,499,,520,8,Dublin City University,,,,,,,,,,,
380,Social and behavioural sciences,Psychology,DC208,532,,521,,521,,533,8,Dublin City University,,,,,,,,,,,
381,Health,Health and Society,DC209,465,,440,,440,,466,8,Dublin City University,,,,,,,,,,,
382,Health,General Nursing,DC215,454,,433,,433,,462,8,Dublin City University,,,,,,,,,,,
383,Health,Mental Health Nursing,DC216,418,,403,,403,,424,8,Dublin City University,,,,,,,,,,,
384,Health,Intellectual Disability Nursing,DC217,370,,,,370,,390,8,Dublin City University,,,,,,,,,,,
385,Health,Children`s and General Nursing (Integrated),DC218,500,,498,,498,,522,8,Dublin City University,,,,,,,,,,,
386,Social and behavioural sciences,"Economics, Politics and Law",DC230,435,,,,435,,462,8,Dublin City University,,,,,,,,,,,
387,Social and behavioural sciences,International Relations,DC231,397,,,,397,,433,8,Dublin City University,,,,,,,,,,,
388,Law,Law and Society (BCL),DC232,466,,,,466,,496,8,Dublin City University,,,,,,,,,,,
389,Education,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,309,,,,309,,357,8,Dublin City University,,,,,,,,,,,
390,Humanities (except languages),Social Sciences and Cultural Innovation,DC238,377,,,,377,,411,8,Dublin City University,,,,,,,,,,,
391,Journalism and information,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",DC239,430,,,,430,,473,8,Dublin City University,,,,,,,,,,,
392,Business and administration,"Marketing, Innovation and Technology",DC240,476,,474,,474,,498,8,Dublin City University,,,,,,,,,,,
393,Arts,Arts (Joint Honours) - Media Studies,DC291,376,,,,376,,409,8,Dublin City University,,,,,,,,,,,
394,Arts,Arts (Joint Honours) - Law,DC292,403,,,,403,,430,8,Dublin City University,,,,,,,,,,,
395,Arts,Arts (Joint Honours) - International Languages,DC293,377,,,,377,,466,8,Dublin City University,,,,,,,,,,,
396,Arts,Arts (Joint Honours) - Politics,DC295,376,,,,376,,409,8,Dublin City University,,,,,,,,,,,
397,Business and administration,Business and Management,DK710,120,,120,,120,,352,7,Dundalk Institute of Technology,,avp,,,,,,,,,
398,Business and administration,Business and Technology,DK711,191,,,,191,,327,7,Dundalk Institute of Technology,,avp,,,,,,,,,
399,Business and administration,Digital Marketing and Public Relations,DK712,100,,100,,100,,349,7,Dundalk Institute of Technology,,avp,,,,,,,,,
400,Information and Communication Technologies (ICTs),Computing,DK721,106,,106,,106,,326,7,Dundalk Institute of Technology,,avp,,,,,,,,,
401,Information and Communication Technologies (ICTs),Augmented and Virtual Reality,DK722,144,,144,,144,,348,7,Dundalk Institute of Technology,,avp,,,,,,,,,
402,Architecture and construction,Building Surveying,DK730,165,,,,165,,330,7,Dundalk Institute of Technology,,,,,,,,,,,
403,Architecture and construction,Architectural Technology,DK731,332,,,,332,,392,7,Dundalk Institute of Technology,,,,,,,,,,,
404,Architecture and construction,Construction Management,DK732,120,,,,120,,321,7,Dundalk Institute of Technology,,,,,,,,,,,
405,Engineering and engineering trades,Engineering - Electrical and Electronic Systems,DK740,179,,179,,179,,339,7,Dundalk Institute of Technology,,avp,,,,,,,,,
406,Engineering and engineering trades,Engineering - Mechanical Engineering,DK742,166,,166,,166,,312,7,Dundalk Institute of Technology,,avp,,,,,,,,,
407,Architecture and construction,Engineering - Civil Engineering,DK744,190,,157,,157,,341,7,Dundalk Institute of Technology,,avp,,,,,,,,,
408,Personal services,Hospitality Management,DK750,176,,176,,176,,279,7,Dundalk Institute of Technology,,avp,,,,,,,,,
409,Personal services,Event Management,DK752,175,,175,,175,,347,7,Dundalk Institute of Technology,,avp,,,,,,,,,
410,Personal services,Culinary Arts,DK753,182,,182,,182,,387,7,Dundalk Institute of Technology,,avp,v,,,,,,,,
411,Personal services,"Sport, Exercise and Enterprise",DK763,233,,,,225,,329,7,Dundalk Institute of Technology,,,,,,,,,,,
412,Welfare,Community Youth Work (interview),DK767,240,,240,,240,,330,7,Dundalk Institute of Technology,#,avp,,,,,,,,,
413,Arts,Audio and Music Production,DK768,261,,,,261,,361,7,Dundalk Institute of Technology,,,,,,,,,,,
414,Arts,Creative Media,DK769,165,,165,,165,,318,7,Dundalk Institute of Technology,,avp,,,,,,,,,
415,Arts,Theatre & Film Practice,DK770,190,,190,,190,,388,7,Dundalk Institute of Technology,,avp,,,,,,,,,
416,Arts,Musical Theatre (audition),DK771,,,,,,,,7,Dundalk Institute of Technology,#,,,,,,,,,,
417,Biological and related sciences,Science - Bioscience,DK781,358,,328,,208,,381,7,Dundalk Institute of Technology,,,,,,,,,,,
418,Biological and related sciences,Science - Pharmaceutical Science,DK783,349,,317,,210,,362,7,Dundalk Institute of Technology,,,,,,,,,,,
419,Veterinary,Veterinary Nursing,DK784,399,,,,399,,445,7,Dundalk Institute of Technology,,,,,,,,,,,
420,Business and administration,Accounting and Finance,DK810,305,,305,,305,,401,8,Dundalk Institute of Technology,,avp,,,,,,,,,
421,Business and administration,Business Studies,DK816,300,,300,,300,,367,8,Dundalk Institute of Technology,,avp,,,,,,,,,
422,Information and Communication Technologies (ICTs),Computing in Games Development,DK820,311,,311,,311,,348,8,Dundalk Institute of Technology,,avp,,,,,,,,,
423,Information and Communication Technologies (ICTs),Computing in Software Development,DK821,302,,302,,302,,361,8,Dundalk Institute of Technology,,avp,,,,,,,,,
424,Information and Communication Technologies (ICTs),Augmented and Virtual Reality,DK822,307,,,,304,,380,8,Dundalk Institute of Technology,,avp,,,,,,,,,
425,Architecture and construction,Building Surveying,DK830,336,,,,336,,352,8,Dundalk Institute of Technology,,,,,,,,,,,
426,Architecture and construction,Architectural Technology,DK831,389,,,,389,,433,8,Dundalk Institute of Technology,,,,,,,,,,,
427,Architecture and construction,Construction Management,DK832,387,,,,387,,419,8,Dundalk Institute of Technology,,,,,,,,,,,
428,Engineering and engineering trades,Engineering (Common Entry),DK843,340,,340,,340,,439,8,Dundalk Institute of Technology,,avp,,,,,,,,,
429,Engineering and engineering trades,Mechanical Engineering,DK844,305,,305,,305,,448,8,Dundalk Institute of Technology,,avp,,,,,,,,,
430,Engineering and engineering trades,Electrical & Electronic Engineering,DK845,304,,304,,304,,392,8,Dundalk Institute of Technology,,avp,,,,,,,,,
431,Architecture and construction,Civil Engineering,DK846,391,,361,,361,,392,8,Dundalk Institute of Technology,,avp,,,,,,,,,
432,Personal services,International Tourism Management,DK850,317,,317,,317,,377,8,Dundalk Institute of Technology,,avp,,,,,,,,,
433,Arts,Music (audition),DK860,532,,532,,503,,634,8,Dundalk Institute of Technology,#,avp,,,,,,,,,
434,Social and behavioural sciences,Arts,DK861,302,,302,,302,,363,8,Dundalk Institute of Technology,,avp,,,,,,,,,
435,Welfare,Social Care,DK862,301,,,,301,,347,8,Dundalk Institute of Technology,,,,,,,,,,,
436,Arts,Creative Media,DK863,308,,308,,308,,337,8,Dundalk Institute of Technology,,avp,,,,,,,,,
437,Arts,Film and Television Production,DK864,300,,300,,300,,402,8,Dundalk Institute of Technology,,avp,v,,,,,,,,
438,Arts,Audio and Music Production,DK865,301,,,,301,,367,8,Dundalk Institute of Technology,,,,,,,,,,,
439,Health,General Nursing,DK870,403,,401,,397,*,419,8,Dundalk Institute of Technology,,,,,,,,,,,
440,Health,Intellectual Disability Nursing,DK872,336,,,,336,,358,8,Dundalk Institute of Technology,,,,,,,,,,,
441,Health,Mental Health Nursing,DK874,356,,,,356,,379,8,Dundalk Institute of Technology,,,,,,,,,,,
442,Welfare,Early Childhood Studies,DK876,321,,,,321,,388,8,Dundalk Institute of Technology,,,,,,,,,,,
443,Health,Midwifery,DK877,440,,,,440,,470,8,Dundalk Institute of Technology,,,,,,,,,,,
444,Health,Health and Physical Activity,DK880,328,,,,328,,389,8,Dundalk Institute of Technology,,,,,,,,,,,
445,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agriculture (Award options),DK882,310,,,,310,,380,8,Dundalk Institute of Technology,,,,,,,,,,,
446,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science (Award options),DK883,358,,321,,300,,370,8,Dundalk Institute of Technology,,,,,,,,,,,
447,Agriculture,Sustainable Agriculture,DK884,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
448,Manufacturing and processing,Agri-Food Production,DK885,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
449,Manufacturing and processing,Biopharmaceutical Science,DK886,301,,,,301,,338,8,Dundalk Institute of Technology,,,,,,,,,,,
450,Environment,Environmental Science,DK887,330,,,,330,,589,8,Dundalk Institute of Technology,,,,,,,,,,,
451,Business and administration,Business - Applied Entrepreneurship,DL701,AQA,,AQA,,AQA,,359,7,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,,,,,,,,
452,Humanities (except languages),"English, Media and Cultural Studies",DL821,212,,212,,212,,347,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,,,,,,,,
453,Business and administration,Arts Management,DL822,229,,229,,235,,337,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,v,,,,,,,,
454,Business and administration,Business Management,DL823,235,,,,237,,325,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,,,,,,,,
455,Social and behavioural sciences,Applied Psychology,DL825,379,,,,379,,434,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,,,,,,,,
456,Arts,Visual Communication Design,DL826,855,,,,855,,1024,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
457,Arts,Art,DL827,572,,,,572,,941,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
458,Arts,"3D Design, Modelmaking and Digital Art",DL828,506,,,,538,,920,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
459,Arts,Design for Stage and Screen (Costume Design),DL829,593,,,,593,,947,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
460,Arts,Design for Stage and Screen (Character Makeup Design),DL830,939,,,,939,,968,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
461,Arts,Design for Stage and Screen (Production Design),DL831,781,,,,781,,1026,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
462,Arts,Animation,DL832,920,,,,920,,1022,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
463,Arts,Photography,DL833,650,,,,667,,854,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
464,Arts,Film and Television Production,DL834,990,,,,990,,1040,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
465,Information and Communication Technologies (ICTs),Creative Computing,DL836,219,,,,219,,300,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,,,,,,,,
466,Humanities (except languages),New Media Studies,DL837,201,,,,201,,316,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,,,,,,,,
467,Arts,Creative Music Production,DL838,754,,,,754,,972,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
468,Information and Communication Technologies (ICTs),Interaction and User Experience Design,DL839,683,,683,,683,,990,8,"Dun Laoghaire Institute of Art, Design and Technology",#,avp,,,,,,,,,
469,Business and administration,Digital Marketing,DL840,228,,228,,228,,327,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,,,,,,,,
470,Arts,English and Equality Studies,DL841,276,,,,276,,341,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,,,,,,,,
471,Architecture and construction,Architecture,DN100,510,,,,510,,541,8,University College Dublin (NUI),,,,,,,,,,,
472,Architecture and construction,Landscape Architecture,DN120,407,,,,407,,453,8,University College Dublin (NUI),,,,,,,,,,,
473,Architecture and construction,City Planning and Environmental Policy,DN130,407,,400,,390,,432,8,University College Dublin (NUI),,,,,,,,,,,
474,Engineering and engineering trades,Engineering (Common Entry),DN150,531,,521,,520,*,565,8,University College Dublin (NUI),,,,,,,,,,,
475,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science (options),DN200,533,,,,533,,567,8,University College Dublin (NUI),,,,,,,,,,,
476,Information and Communication Technologies (ICTs),Computer Science (Common Entry),DN201,510,,,,510,,542,8,University College Dublin (NUI),,,,,,,,,,,
477,Mathematics and statistics,Actuarial and Financial Studies,DN230,601,,,,601,,613,8,University College Dublin (NUI),,,,,,,,,,,
478,Environment,Sustainability,DN240,440,,,,440,,498,8,University College Dublin (NUI),,,,,,,,,,,
479,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Science (options),DN250,456,,455,,453,,488,8,University College Dublin (NUI),,,,,,,,,,,
480,Agriculture,Dairy Business,DN252,410,,,,410,,455,8,University College Dublin (NUI),,,,,,,,,,,
481,Environment,Agri - Environmental Sciences,DN253,418,,,,413,,443,8,University College Dublin (NUI),,,,,,,,,,,
482,Agriculture,Food Science,DN261,477,,,,476,*,495,8,University College Dublin (NUI),,,,,,,,,,,
483,Health,Human Nutrition,DN262,531,,,,531,,553,8,University College Dublin (NUI),,,,,,,,,,,
484,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Forestry,DN271,311,,,,311,,359,8,University College Dublin (NUI),,,,,,,,,,,
485,Agriculture,"Horticulture, Landscape and Sportsturf Management",DN272,297,,282,,282,,378,8,University College Dublin (NUI),,,,,,,,,,,
486,Veterinary,Veterinary Medicine - Undergraduate Entry,DN300,589,,,,589,,602,8,University College Dublin (NUI),#,,,,,,,,,,
487,Veterinary,Veterinary Medicine - Graduate Entry (GAMSAT required),DN301,,,,,#,,,8,University College Dublin (NUI),#,,,,,,,,,,
488,Veterinary,Veterinary Nursing,DN310,478,,477,,466,*,489,8,University College Dublin (NUI),,,,,,,,,,,
489,Health,Medicine - Undergraduate Entry (HPAT required),DN400,737,,736,*,736,*,748,8,University College Dublin (NUI),#,,,,,,,,,,
490,Health,Medicine - Graduate Entry (GAMSAT required),DN401,,,,,58,*,61,8,University College Dublin (NUI),#,,,,,,,,,,
491,Health,Radiography,DN410,534,,532,*,531,*,543,8,University College Dublin (NUI),,,,,,,,,,,
492,Health,Radiography - Graduate Entry,DN411,,,,,#,,,8,University College Dublin (NUI),#,,,,,,,,,,
493,Health,Physiotherapy,DN420,578,,577,*,568,,589,8,University College Dublin (NUI),,,,,,,,,,,
494,Health,Health and Performance Science,DN425,510,,509,*,507,,521,8,University College Dublin (NUI),,,,,,,,,,,
495,Business and administration,Sport and Exercise Management,DN430,455,,445,,433,,455,8,University College Dublin (NUI),,,,,,,,,,,
496,Biological and related sciences,"Biomedical, Health and Life Sciences",DN440,590,,589,*,589,*,601,8,University College Dublin (NUI),,,,,,,,,,,
497,Health,General Nursing,DN450,429,*,424,,421,,445,8,University College Dublin (NUI),,,,,,,,,,,
498,Health,Children`s and General Nursing (Integrated),DN451,509,,506,,499,,529,8,University College Dublin (NUI),,,,,,,,,,,
499,Health,Midwifery,DN452,489,,476,,473,,499,8,University College Dublin (NUI),,,,,,,,,,,
500,Health,Mental Health Nursing,DN453,397,,393,,393,,412,8,University College Dublin (NUI),,,,,,,,,,,
501,Arts,Joint Honours (options),DN520,310,,,,310,,409,8,University College Dublin (NUI),,,,,,,,,,,
502,Humanities (except languages),Humanities (options),DN530,340,,336,,326,,419,8,University College Dublin (NUI),,,,,,,,,,,
503,Languages,Modern Languages (options),DN541,303,,,,300,,443,8,University College Dublin (NUI),,,,,,,,,,,
504,Law,Law (options),DN600,546,,544,,543,*,566,8,University College Dublin (NUI),,,,,,,,,,,
505,Business and administration,Business and Law,DN610,545,,,,544,,577,8,University College Dublin (NUI),,,,,,,,,,,
506,Business and administration,Commerce,DN650,521,*,521,*,521,*,543,8,University College Dublin (NUI),,,,,,,,,,,
507,Business and administration,Commerce International (options),DN660,517,,511,,510,*,531,8,University College Dublin (NUI),,,,,,,,,,,
508,Business and administration,Economics and Finance,DN670,613,,,,613,,625,8,University College Dublin (NUI),,,,,,,,,,,
509,Social and behavioural sciences,Social Sciences (options),DN700,421,,419,,418,,466,8,University College Dublin (NUI),,,,,,,,,,,
510,Social and behavioural sciences,Economics,DN710,498,*,498,*,498,*,510,8,University College Dublin (NUI),,,,,,,,,,,
511,Social and behavioural sciences,Psychology,DN720,530,,522,*,522,*,543,8,University College Dublin (NUI),,,,,,,,,,,
512,Social and behavioural sciences,Social Policy and Sociology,DN750,378,,,,377,,408,8,University College Dublin (NUI),,,,,,,,,,,
513,Information and Communication Technologies (ICTs),Computing and Multimedia (Level 6 - Higher Certificate),DS602,,,,,198,,367,6,Dorset College,,,,,,,,,,,
514,Information and Communication Technologies (ICTs),Computing and Multimedia (Level 6 - Certificate),DS603,,,,,423,,523,6,Dorset College,,,,,,,,,,,
515,Business and administration,Business,DS701,,,,,299,,299,7,Dorset College,,,,,,,,,,,
516,Information and Communication Technologies (ICTs),Computing and Multimedia (Level 7),DS702,,,,,290,,413,7,Dorset College,,,,,,,,,,,
517,Business and administration,Business,GA160,163,,163,,163,,278,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,
518,Business and administration,Business,GA170,250,,,,250,,420,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
519,Information and Communication Technologies (ICTs),Business Information Systems,GA171,250,,,,250,,367,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
520,Agriculture,Rural Enterprise and Agri-Business,GA172,277,,,,277,,382,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
521,Business and administration,Marketing and Sales,GA174,281,,,,282,,377,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
522,Business and administration,Finance,GA175,278,,,,278,,467,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
523,Business and administration,Business with Entrepreneurship,GA176,278,,,,278,,411,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
524,Business and administration,Accounting,GA181,309,,,,309,,403,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
525,Business and administration,Business,GA182,287,,,,287,,347,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
526,Information and Communication Technologies (ICTs),Business Information Systems,GA183,296,,,,296,,356,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
527,Business and administration,Marketing and Sales,GA184,307,,,,307,,357,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
528,Business and administration,Finance and Economics,GA185,293,,,,293,,392,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
529,Business and administration,Business with Entrepreneurship,GA186,280,,,,280,,356,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
530,Agriculture,Rural Enterprise and Agri-Business,GA187,281,,,,281,,352,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
531,Social and behavioural sciences,Heritage Studies,GA272,188,,188,,188,,363,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,
532,Arts,Contemporary Art,GA273,702,,,,702,,892,7,Galway-Mayo Institute of Technology,#,,,,,,,,,,
533,Arts,Design,GA274,251,,,,251,,378,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
534,Arts,Film and Documentary,GA281,304,,,,304,,379,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
535,Social and behavioural sciences,Heritage Studies,GA282,220,,,,220,,281,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
536,Arts,Contemporary Art,GA283,679,,,,679,,870,8,Galway-Mayo Institute of Technology,#,,,,,,,,,,
537,Arts,Design,GA284,303,,,,303,,356,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
538,Education,"Education (Art, Design and Graphics)",GA285,,,,,,,,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
539,Personal services,Business in Tourism,GA360,172,,172,,172,,260,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,
540,Personal services,Culinary Arts,GA361,193,,,,193,,375,6,Galway-Mayo Institute of Technology,,,,,,,,,,,
541,Personal services,Hotel and Hospitality Operations,GA362,240,,228,,228,,330,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,
542,Social and behavioural sciences,Heritage Studies,GA364,252,,252,,252,,369,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,
543,Personal services,Hotel and Catering Management,GA370,198,,,,198,,362,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,
544,Personal services,Event Management with Public Relations,GA376,206,,187,,187,,348,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,
545,Personal services,International Tourism Management,GA377,172,,,,172,,360,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,
546,Manufacturing and processing,Culinary and Gastronomic Science,GA378,219,,,,219,,432,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
547,Personal services,International Hotel Management,GA380,242,,,,242,,330,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
548,Personal services,International Tourism Management,GA381,278,,,,278,,350,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
549,Manufacturing and processing,Culinary and Gastronomic Science,GA382,206,,,,206,,337,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
550,Personal services,Event Management with Public Relations,GA384,212,,,,212,,328,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
551,Architecture and construction,Construction Management,GA470,244,,243,,243,,349,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
552,Architecture and construction,Quantity Surveying and Construction Economics,GA471,200,,,,200,,347,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
553,Architecture and construction,Architectural Technology,GA472,226,,,,226,,367,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
554,Architecture and construction,Civil Engineering,GA473,241,,,,241,,432,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
555,Architecture and construction,Construction Management,GA480,260,,,,260,,336,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
556,Architecture and construction,Quantity Surveying and Construction Economics,GA482,288,,,,288,,350,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
557,Architecture and construction,Architectural Technology,GA483,265,,,,265,,337,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
558,Architecture and construction,Civil Engineering,GA484,290,,,,290,,383,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
559,Engineering and engineering trades,Software and Electronic Engineering,GA570,224,,,,224,,399,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
560,Engineering and engineering trades,Software and Electronic Engineering,GA580,300,,,,300,,393,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
561,Engineering and engineering trades,Mechanical Engineering,GA670,265,,,,265,,413,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
562,Engineering and engineering trades,Energy Engineering,GA673,260,,,,260,,452,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
563,Engineering and engineering trades,Biomedical Engineering,GA674,298,,,,298,,455,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
564,Engineering and engineering trades,Agricultural Engineering,GA675,298,,,,298,,386,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
565,Engineering and engineering trades,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),GA676,290,,,,290,,465,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
566,Manufacturing and processing,Manufacturing Engineering Design,GA677,235,,,,235,,379,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
567,Engineering and engineering trades,Mechanical Engineering,GA680,330,,,,330,,401,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
568,Engineering and engineering trades,Energy Engineering,GA681,293,,,,293,,366,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
569,Engineering and engineering trades,Biomedical Engineering,GA682,313,,,,313,,393,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
570,Engineering and engineering trades,Agricultural Engineering,GA683,309,,,,309,,385,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
571,Engineering and engineering trades,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),GA684,340,,,,340,,405,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
572,Manufacturing and processing,Manufacturing Engineering Design,GA685,309,,,,309,,379,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
573,Biological and related sciences,Applied Freshwater and Marine Biology,GA770,280,,,,280,,388,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
574,Biological and related sciences,Applied Biology and Biopharmaceutical Science,GA771,280,,,,280,,465,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
575,Environment,Chemical and Pharmaceutical Science,GA772,280,,,,280,,487,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
576,Physical sciences,Physics and Instrumentation,GA773,299,,,,299,,521,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
577,Biological and related sciences,Science (Undenominated),GA774,289,,,,289,,490,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
578,Information and Communication Technologies (ICTs),Computing in Software Development,GA775,260,,,,260,,356,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
579,Information and Communication Technologies (ICTs),Computing and Digital Media,GA776,241,,,,241,,381,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
580,Agriculture,Agriculture and Environmental Management,GA777,281,,,,281,,393,7,Galway-Mayo Institute of Technology,,,,,,,,,,,
581,Biological and related sciences,Applied Freshwater and Marine Biology,GA780,327,,,,327,,377,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
582,Biological and related sciences,Applied Biology and Biopharmaceutical Science,GA781,337,,,,337,,390,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
583,Environment,Chemical and Pharmaceutical Science,GA782,336,,,,336,,388,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
584,Physical sciences,Physics and Instrumentation,GA783,363,,,,363,,408,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
585,Biological and related sciences,Science (Undenominated),GA784,372,,,,372,,403,8,Galway-Mayo Institute of Technology,,,,,,,,,,,
